"R_anti_pad [um]","Freq [GHz]","dB(St(Trace_out_L1_T1,Trace_out_L1_T1)) []","dB(St(Trace_out_L1_T2,Trace_out_L1_T1)) []"
300,2.68,-34.2164386374448,-0.21810581221302
300,2.69,-34.1891192555784,-0.218989074080211
300,2.7,-34.1619244613944,-0.219872945894543
300,2.71,-34.134853220529,-0.220757437783293
300,2.72,-34.1079045060516,-0.221642559814647
300,2.73,-34.0810772983507,-0.222528321997616
300,2.74,-34.0543705850203,-0.223414734281989
300,2.75,-34.0277833607475,-0.224301806558263
300,2.76,-34.0013146272021,-0.225189548657605
300,2.77,-33.9749633929266,-0.226077970351874
300,2.78,-33.9487286732274,-0.226967081353569
300,2.79,-33.9226094900687,-0.227856891315931
300,2.8,-33.8966048719657,-0.228747409832926
300,2.81,-33.8707138538807,-0.229638646439313
300,2.82,-33.8449354771189,-0.230530610610747
300,2.83,-33.8192687892278,-0.231423311763822
300,2.84,-33.7937128438952,-0.232316759256231
300,2.85,-33.7682667008503,-0.233210962386839
300,2.86,-33.7429294257655,-0.234105930395835
300,2.87,-33.7177000901591,-0.23500167246489
300,2.88,-33.6925777713007,-0.235898197717301
300,2.89,-33.6675615521156,-0.236795515218173
300,2.9,-33.6426505210925,-0.237693633974585
300,2.91,-33.6178437721912,-0.238592562935829
300,2.92,-33.5931404047528,-0.239492310993562
300,2.93,-33.5685395234091,-0.240392886982078
300,2.94,-33.5440402379958,-0.2412942996785
300,2.95,-33.5196416634648,-0.242196557803055
300,2.96,-33.495342919799,-0.243099670019276
300,2.97,-33.4711431319276,-0.244003644934317
300,2.98,-33.4470414296432,-0.244908491099168
300,2.99,-33.4230369475197,-0.245814217008982
300,3,-33.3991288248315,-0.24672083110331
300,3.01,-33.3753162054736,-0.247628341766452
300,3.02,-33.351598237884,-0.248536757327694
300,3.03,-33.3279740749654,-0.249446086061679
300,3.04,-33.3044428740102,-0.250356336188694
300,3.05,-33.2810037966246,-0.251267515874973
300,3.06,-33.2576560086555,-0.252179633233067
300,3.07,-33.2343986801174,-0.25309269632216
300,3.08,-33.2112309851214,-0.254006713148403
300,3.09,-33.1881521018042,-0.254921691665289
300,3.1,-33.1651612122594,-0.255837639773968
300,3.11,-33.1422575024686,-0.256754565323653
300,3.12,-33.1194401622352,-0.257672476111947
300,3.13,-33.0967083851175,-0.258591379885224
300,3.14,-33.0740613683642,-0.259511284339008
300,3.15,-33.0514983128507,-0.26043219711835
300,3.16,-33.0290184230159,-0.261354125818201
300,3.17,-33.0066209068002,-0.262277077983814
300,3.18,-32.9843049755858,-0.263201061111115
300,3.19,-32.9620698441352,-0.264126082647122
300,3.2,-32.9399147305346,-0.265052149990317
300,3.21,-32.9178388561342,-0.265979270491065
300,3.22,-32.8958414454931,-0.266907451452015
300,3.23,-32.8739217263224,-0.267836700128494
300,3.24,-32.8520789294312,-0.268767023728937
300,3.25,-32.8303122886723,-0.269698429415282
300,3.26,-32.8086210408901,-0.270630924303399
300,3.27,-32.7870044258679,-0.271564515463485
300,3.28,-32.7654616862775,-0.272499209920518
300,3.29,-32.7439920676294,-0.273435014654643
300,3.3,-32.7225948182232,-0.274371936601613
300,3.31,-32.7012691891001,-0.275309982653214
300,3.32,-32.6800144339952,-0.276249159657687
300,3.33,-32.6588298092914,-0.277189474420166
300,3.34,-32.6377145739747,-0.278130933703077
300,3.35,-32.6166679895881,-0.279073544226609
300,3.36,-32.5956893201896,-0.28001731266913
300,3.37,-32.5747778323089,-0.280962245667594
300,3.38,-32.5539327949049,-0.281908349818021
300,3.39,-32.5331534793261,-0.282855631675891
300,3.4,-32.5124391592693,-0.283804097756602
300,3.41,-32.4917891107405,-0.284753754535887
300,3.42,-32.471202612017,-0.285704608450293
300,3.43,-32.4506789436095,-0.286656665897541
300,3.44,-32.4302173882251,-0.287609933237043
300,3.45,-32.4098172307317,-0.288564416790288
300,3.46,-32.3894777581232,-0.289520122841295
300,3.47,-32.369198259484,-0.290477057637061
300,3.48,-32.3489780259568,-0.291435227387967
300,3.49,-32.3288163507095,-0.292394638268257
300,3.5,-32.3087125289032,-0.293355296416432
300,3.51,-32.288665857661,-0.294317207935722
300,3.52,-32.268675636038,-0.295280378894496
300,3.53,-32.2487411649917,-0.296244815326722
300,3.54,-32.2288617473531,-0.297210523232378
300,3.55,-32.2090366877988,-0.298177508577903
