"Freq [GHz]","dB(St(sma_cpw_Unnamed_4_T1,sma_cpw_Unnamed_4_T1)) []","dB(St(micro_line_T1,sma_cpw_Unnamed_4_T1)) []"
3.42,-9.05034542106486,-0.632563180093026
3.43,-9.20234523402941,-0.611469305121947
3.44,-9.36070096667734,-0.590364960098934
3.45,-9.52570444355377,-0.569278591208406
3.46,-9.69766629905589,-0.54823935355303
3.47,-9.8769173551965,-0.527277092196318
3.48,-10.0638100845619,-0.506422320040403
3.49,-10.2587201501538,-0.485706192379062
3.5,-10.4620480064294,-0.465160477973388
3.51,-10.6742205351651,-0.444817526506407
3.52,-10.8956926743798,-0.424710232284755
3.53,-11.1269489765326,-0.404871994069172
3.54,-11.3685050007734,-0.385336670931829
3.55,-11.6209083992482,-0.366138534057375
3.56,-11.8847394937058,-0.34731221442605
3.57,-12.1606110478882,-0.328892646341056
3.58,-12.4491668118891,-0.310915006789454
3.59,-12.7510782303689,-0.293414650654743
3.6,-13.0670384437073,-0.276427041831071
3.61,-13.397752336451,-0.259987680323592
3.62,-13.7439208538273,-0.244132025455092
3.63,-14.1062170496992,-0.228895415337478
3.64,-14.4852502609439,-0.214312982806758
3.65,-14.8815133126741,-0.200419568060481
3.66,-15.2953056178836,-0.187249628279204
3.67,-15.7266223288296,-0.174837144555159
3.68,-16.1749963060065,-0.163215526493936
3.69,-16.6392758633827,-0.152417514896101
3.7,-17.1173179943914,-0.142475082966496
3.71,-17.605576534136,-0.133419336537229
3.72,-18.0985727105967,-0.125280413827655
3.73,-18.5882614759083,-0.118087385298113
3.74,-19.0633657077279,-0.11186815418634
3.75,-19.5088571589865,-0.106649358343671
3.76,-19.9059151759017,-0.102456274014223
3.77,-20.2328308544901,-0.0993127222248399
3.78,-20.4672848636307,-0.09724097847568
3.79,-20.5899965827335,-0.0962616864461293
3.8,-20.5888977231399,-0.0963937764564879
3.81,-20.4622120142684,-0.0976543894597253
3.82,-20.2189420495503,-0.100058807380348
3.83,-19.8765066663064,-0.103620390675214
3.84,-19.4567251576578,-0.108350524069187
3.85,-18.9818589988479,-0.114258571514702
3.86,-18.4718550117501,-0.121351841539408
3.87,-17.9430319071539,-0.129635564259467
3.88,-17.4078701495404,-0.139112881405753
3.89,-16.8754203461517,-0.14978485065418
3.9,-16.3519476497974,-0.161650465216537
3.91,-15.8415877039489,-0.174706688799102
3.92,-15.3469132335117,-0.18894850434456
3.93,-14.8693832898827,-0.204368972081005
3.94,-14.4096818812428,-0.220959288121771
3.95,-13.9679652083891,-0.238708829564015
3.96,-13.5440383931172,-0.257605167263907
3.97,-13.1374799336974,-0.277634026417992
3.98,-12.7477283364167,-0.298779182231377
3.99,-12.37414179373,-0.321022296799866
4,-12.0160388448627,-0.344342732071509
4.01,-11.6727257086484,-0.368717401550194
4.02,-11.3435143238429,-0.394120732544671
4.03,-11.0277339402208,-0.420524787779962
4.04,-10.7247382562935,-0.447899544548196
4.05,-10.4339095014626,-0.476213275794675
4.06,-10.1546604401243,-0.505432949242611
4.07,-9.88643498037966,-0.535524569635825
4.08,-9.62870786324543,-0.566453424029635
4.09,-9.3809837632285,-0.598184228488539
