"Freq [GHz]","dB(St(Microstrip_1B_T1,Microstrip_1B_T1)) []","dB(St(Microstrip_1B_T2,Microstrip_1B_T1)) []"
2.39,-36.1507946601292,-0.151728313038389
2.4,-36.1153621115136,-0.152345393082514
2.41,-36.0801158125641,-0.15296238097642
2.42,-36.0450541557887,-0.153579277059587
2.43,-36.0101755535703,-0.15419608171196
2.44,-35.9754784378881,-0.154812795352682
2.45,-35.9409612600396,-0.155429418438779
2.46,-35.9066224903674,-0.156045951463923
2.47,-35.8724606179927,-0.156662394957171
2.48,-35.8384741505493,-0.157278749481795
2.49,-35.8046616139259,-0.157895015634046
2.5,-35.7710215520071,-0.158511194042013
2.51,-35.7375525264241,-0.159127285364488
2.52,-35.7042531163051,-0.159743290289833
2.53,-35.6711219180315,-0.16035920953488
2.54,-35.6381575449964,-0.160975043843856
2.55,-35.6053586273692,-0.161590793987339
2.56,-35.5727238118605,-0.162206460761227
2.57,-35.5402517614931,-0.1628220449857
2.58,-35.5079411553761,-0.16343754750427
2.59,-35.4757906884812,-0.164052969182785
2.6,-35.4437990714234,-0.164668310908476
2.61,-35.4119650302448,-0.165283573589059
2.62,-35.3802873062022,-0.165898758151794
2.63,-35.3487646555564,-0.166513865542619
2.64,-35.3173958493659,-0.167128896725262
2.65,-35.2861796732836,-0.167743852680415
2.66,-35.2551149273559,-0.168358734404881
2.67,-35.2242004258258,-0.168973542910785
2.68,-35.1934349969375,-0.169588279224744
2.69,-35.1628174827456,-0.170202944387132
2.7,-35.132346738926,-0.170817539451306
2.71,-35.1020216345893,-0.171432065482853
2.72,-35.0718410520985,-0.172046523558895
2.73,-35.0418038868881,-0.172660914767354
2.74,-35.0119090472854,-0.173275240206282
2.75,-34.9821554543372,-0.173889500983193
2.76,-34.9525420416347,-0.174503698214391
2.77,-34.9230677551456,-0.175117833024337
2.78,-34.893731553045,-0.175731906545042
2.79,-34.8645324055514,-0.176345919915415
2.8,-34.8354692947628,-0.176959874280731
2.81,-34.8065412144968,-0.177573770791993
2.82,-34.7777471701337,-0.178187610605421
2.83,-34.7490861784588,-0.178801394881848
2.84,-34.720557267511,-0.179415124786243
2.85,-34.6921594764301,-0.180028801487149
2.86,-34.6638918553089,-0.180642426156192
2.87,-34.6357534650461,-0.181255999967601
2.88,-34.6077433772011,-0.181869524097685
2.89,-34.5798606738526,-0.182482999724417
2.9,-34.5521044474568,-0.183096428026964
2.91,-34.5244738007103,-0.183709810185212
2.92,-34.496967846413,-0.184323147379387
2.93,-34.4695857073332,-0.184936440789608
2.94,-34.4423265160761,-0.185549691595491
2.95,-34.4151894149527,-0.186162900975755
2.96,-34.3881735558513,-0.186776070107832
2.97,-34.3612781001102,-0.187389200167517
2.98,-34.3345022183934,-0.188002292328582
2.99,-34.3078450905669,-0.188615347762462
3,-34.2813059055778,-0.189228367637866
3.01,-34.254883861334,-0.189841353120505
3.02,-34.2285781645865,-0.190454305372737
3.03,-34.2023880308135,-0.191067225553275
3.04,-34.1763126841053,-0.191680114816879
3.05,-34.1503513570518,-0.192292974314091
3.06,-34.1245032906307,-0.192905805190917
3.07,-34.0987677340984,-0.193518608588607
3.08,-34.0731439448816,-0.194131385643351
3.09,-34.0476311884702,-0.194744137486052
3.1,-34.0222287383129,-0.195356865242067
3.11,-33.9969358757136,-0.19596957003101
3.12,-33.9717518897287,-0.196582252966468
3.13,-33.9466760770668,-0.197194915155828
3.14,-33.9217077419902,-0.197807557700055
3.15,-33.8968461962158,-0.198420181693492
3.16,-33.8720907588196,-0.199032788223653
3.17,-33.8474407561418,-0.199645378371045
3.18,-33.8228955216921,-0.200257953208999
3.19,-33.7984543960584,-0.200870513803483
3.2,-33.7741167268152,-0.201483061212936
3.21,-33.7498818684345,-0.202095596488133
3.22,-33.7257491821962,-0.202708120671996
3.23,-33.7017180361023,-0.203320634799481
3.24,-33.6777878047895,-0.203933139897414
3.25,-33.6539578694455,-0.204545636984395
3.26,-33.6302276177251,-0.205158127070618
3.27,-33.6065964436677,-0.205770611157808
3.28,-33.5830637476156,-0.206383090239061
3.29,-33.5596289361354,-0.206995565298767
3.3,-33.5362914219373,-0.207608037312475
3.31,-33.5130506237986,-0.208220507246825
3.32,-33.4899059664862,-0.208832976059461
3.33,-33.4668568806809,-0.2094454446989
3.34,-33.4439028029035,-0.210057914104477
3.35,-33.4210431754407,-0.210670385206296
3.36,-33.3982774462724,-0.211282858925096
3.37,-33.3756050690007,-0.211895336172237
3.38,-33.3530255027793,-0.212507817849614
3.39,-33.3305382122435,-0.21312030484959
3.4,-33.3081426674422,-0.213732798054966
3.41,-33.2858383437703,-0.214345298338914
3.42,-33.2636247219016,-0.214957806564926
3.43,-33.2415012877234,-0.215570323586799
3.44,-33.2194675322717,-0.216182850248563
3.45,-33.1975229516678,-0.216795387384473
3.46,-33.1756670470538,-0.217407935818964
3.47,-33.1538993245324,-0.218020496366639
3.48,-33.132219295104,-0.218633069832226
3.49,-33.1106264746075,-0.219245657010578
3.5,-33.0891203836599,-0.219858258686651
3.51,-33.067700547598,-0.220470875635481
3.52,-33.0463664964203,-0.221083508622181
3.53,-33.0251177647302,-0.221696158401941
3.54,-33.0039538916791,-0.222308825720024
3.55,-32.982874420911,-0.222921511311764
3.56,-32.9618789005081,-0.223534215902531
3.57,-32.9409668829367,-0.224146940207822
3.58,-32.9201379249931,-0.22475968493318
3.59,-32.8993915877525,-0.225372450774248
3.6,-32.8787274365153,-0.225985238416784
3.61,-32.8581450407582,-0.226598048536668
3.62,-32.8376439740817,-0.227210881799902
3.63,-32.8172238141617,-0.227823738862673
3.64,-32.7968841427002,-0.228436620371335
3.65,-32.7766245453765,-0.229049526962459
3.66,-32.7564446118,-0.22966245926282
3.67,-32.736343935463,-0.230275417889501
3.68,-32.7163221136941,-0.230888403449844
3.69,-32.6963787476126,-0.231501416541519
3.7,-32.6765134420837,-0.232114457752574
3.71,-32.6567258056732,-0.232727527661434
3.72,-32.6370154506041,-0.233340626836978
3.73,-32.6173819927135,-0.233953755838542
3.74,-32.5978250514093,-0.234566915215989
3.75,-32.5783442496284,-0.235180105509724
3.76,-32.5589392137951,-0.235793327250777
3.77,-32.5396095737797,-0.236406580960809
3.78,-32.5203549628592,-0.237019867152191
3.79,-32.5011750176758,-0.23763318632803
3.8,-32.4820693781986,-0.238246538982235
3.81,-32.4630376876844,-0.238859925599549
3.82,-32.4440795926398,-0.239473346655626
