"Freq [GHz]","dB(St(Diff1,Diff1)) []","dB(St(Diff2,Diff1)) []"
3.22,-31.0653893705258,-0.258937363337761
3.23,-31.0413793689727,-0.259673630679
3.24,-31.0174752482908,-0.260409779264024
3.25,-30.9936764129017,-0.261145809638893
3.26,-30.9699822730768,-0.261881722349476
3.27,-30.9463922448576,-0.262617517941319
3.28,-30.9229057499811,-0.263353196959509
3.29,-30.899522215803,-0.264088759948554
3.3,-30.8762410752254,-0.264824207452265
3.31,-30.8530617666221,-0.265559540013639
3.32,-30.8299837337699,-0.266294758174732
3.33,-30.8070064257761,-0.267029862476564
3.34,-30.7841292970112,-0.267764853459004
3.35,-30.7613518070399,-0.268499731660673
3.36,-30.738673420556,-0.269234497618843
3.37,-30.7160936073158,-0.269969151869346
3.38,-30.6936118420736,-0.270703694946476
3.39,-30.6712276045193,-0.271438127382899
3.4,-30.6489403792158,-0.272172449709582
3.41,-30.6267496555376,-0.272906662455707
3.42,-30.6046549276111,-0.273640766148571
3.43,-30.5826556942549,-0.274374761313554
3.44,-30.5607514589219,-0.275108648473999
3.45,-30.5389417296423,-0.275842428151181
3.46,-30.517226018967,-0.276576100864226
3.47,-30.4956038439126,-0.277309667130049
3.48,-30.4740747259057,-0.2780431274633
3.49,-30.4526381907316,-0.278776482376286
3.5,-30.4312937684791,-0.279509732378956
3.51,-30.4100409934908,-0.280242877978808
3.52,-30.3888794043102,-0.280975919680866
3.53,-30.3678085436328,-0.281708857987629
3.54,-30.3468279582564,-0.282441693399028
3.55,-30.3259371990316,-0.283174426412374
3.56,-30.3051358208154,-0.283907057522327
3.57,-30.2844233824229,-0.284639587220868
3.58,-30.2637994465815,-0.28537201599725
3.59,-30.2432635798849,-0.286104344337977
3.6,-30.2228153527486,-0.286836572726768
3.61,-30.2024543393653,-0.28756870164453
3.62,-30.182180117661,-0.288300731569346
3.63,-30.1619922692539,-0.289032662976431
3.64,-30.141890379409,-0.289764496338107
3.65,-30.121874037,-0.290496232123829
3.66,-30.1019428344658,-0.291227870800104
3.67,-30.0820963677712,-0.291959412830532
3.68,-30.0623342363673,-0.292690858675749
3.69,-30.0426560431522,-0.293422208793442
3.7,-30.0230613944318,-0.294153463638325
3.71,-30.0035498998831,-0.294884623662137
3.72,-29.9841211725158,-0.295615689313636
3.73,-29.964774828636,-0.296346661038586
3.74,-29.9455104878096,-0.29707753927976
3.75,-29.9263277728265,-0.297808324476935
3.76,-29.9072263096659,-0.298539017066892
3.77,-29.8882057274608,-0.299269617483416
3.78,-29.8692656584641,-0.300000126157298
3.79,-29.8504057380155,-0.30073054351634
3.8,-29.8316256045071,-0.301460869985341
3.81,-29.8129248993517,-0.302191105986145
3.82,-29.7943032669497,-0.302921251937598
3.83,-29.7757603546577,-0.303651308255602
3.84,-29.7572958127572,-0.304381275353079
3.85,-29.7389092944233,-0.30511115364002
3.86,-29.7206004556947,-0.305840943523473
3.87,-29.7023689554432,-0.30657064540757
3.88,-29.6842144553437,-0.307300259693521
3.89,-29.6661366198467,-0.308029786779655
3.9,-29.6481351161469,-0.308759227061413
3.91,-29.6302096141571,-0.309488580931367
3.92,-29.6123597864786,-0.310217848779257
3.93,-29.5945853083742,-0.310947030991973
3.94,-29.5768858577411,-0.311676127953613
3.95,-29.5592611150837,-0.312405140045475
3.96,-29.5417107634871,-0.313134067646091
3.97,-29.5242344885908,-0.313862911131232
3.98,-29.506831978563,-0.31459167087395
3.99,-29.4895029240757,-0.315320347244586
4,-29.4722470182783,-0.316048940610806
4.01,-29.4550639567738,-0.316777451337599
4.02,-29.4379534375941,-0.317505879787335
4.03,-29.4209151611759,-0.318234226319764
4.04,-29.4039488303365,-0.318962491292043
4.05,-29.3870541502508,-0.319690675058784
4.06,-29.3702308284276,-0.320418777972053
4.07,-29.3534785746873,-0.32114680038141
4.08,-29.3367971011387,-0.321874742633926
4.09,-29.320186122157,-0.322602605074232
4.1,-29.3036453543617,-0.323330388044529
4.11,-29.2871745165947,-0.324058091884611
4.12,-29.2707733298993,-0.324785716931906
4.13,-29.2544415174987,-0.325513263521506
4.14,-29.2381788047747,-0.326240731986198
4.15,-29.221984919248,-0.326968122656461
4.16,-29.2058595905567,-0.327695435860549
4.17,-29.1898025504371,-0.328422671924477
4.18,-29.1738135327034,-0.329149831172068
4.19,-29.1578922732278,-0.329876913924994
4.2,-29.1420385099217,-0.330603920502781
