"Freq [GHz]","dB(St(patch_T1,patch_T1)) []"
5.45,-1.05820183466524
5.46,-1.02872954811027
5.47,-0.998851498917239
5.48,-0.968099957754774
5.49,-0.935945005412344
5.5,-0.901798015387251
5.51,-0.865034704310808
5.52,-0.825054648242182
5.53,-0.781401757063975
5.54,-0.733973305459357
5.55,-0.683329899615955
5.56,-0.631061846002816
5.57,-0.580053019328685
5.58,-0.534357248590875
5.59,-0.498427360781339
5.6,-0.475792491962335
5.61,-0.467818603868759
5.62,-0.473329714303926
5.63,-0.48928950727265
5.64,-0.512001662960811
5.65,-0.538122398808953
5.66,-0.56515754038492
5.67,-0.59151654859019
5.68,-0.616339897645792
5.69,-0.639272785990839
5.7,-0.660270470633464
5.71,-0.679458616570095
5.72,-0.697043458302099
5.73,-0.713258491590017
5.74,-0.72833516176798
5.75,-0.742488232985155
5.76,-0.755909651902494
5.77,-0.768767061439598
5.78,-0.781204683163191
5.79,-0.793345265581782
5.8,-0.805292383886676
5.81,-0.817132719769821
5.82,-0.828938144765034
5.83,-0.840767538012535
5.84,-0.852668326382983
5.85,-0.864677763422461
5.86,-0.876823976356202
5.87,-0.889126814752053
5.88,-0.9015985345304
5.89,-0.914244349110172
5.9,-0.927062876824456
5.91,-0.940046510938114
5.92,-0.953181735935815
5.93,-0.966449411297107
5.94,-0.979825041733758
5.95,-0.993279050757112
5.96,-1.00677707239616
5.97,-1.02028027380224
5.98,-1.03374571929383
5.99,-1.0471267840375
6,-1.06037362301661
6.01,-1.07343369818146
6.02,-1.08625236374818
6.03,-1.09877350656246
6.04,-1.11094023536589
6.05,-1.12269560980381
6.06,-1.13398339724112
6.07,-1.14474884303327
6.08,-1.15493943799433
6.09,-1.16450566553213
6.1,-1.17340171038755
6.11,-1.18158611118835
6.12,-1.18902234012426
6.13,-1.19567929493856
6.14,-1.20153169102301
6.15,-1.20656034457471
6.16,-1.21075234134292
6.17,-1.21410108927374
6.18,-1.21660625714514
6.19,-1.21827360486449
6.2,-1.21911471430842
6.21,-1.21914663226438
6.22,-1.21839143908556
6.23,-1.21687575803536
6.24,-1.2146302209651
6.25,-1.2116889059703
6.26,-1.20808876207335
6.27,-1.20386903487994
6.28,-1.19907070566306
6.29,-1.19373595456174
6.3,-1.18790765665552
6.31,-1.18162891770086
6.32,-1.17494265438166
6.33,-1.16789122211064
6.34,-1.16051609177475
6.35,-1.15285757538823
6.36,-1.14495459941384
6.37,-1.13684452355264
6.38,-1.12856300206489
6.39,-1.12014388416864
6.4,-1.11161914973248
6.41,-1.10301887631872
6.42,-1.09437123361082
6.43,-1.08570250134948
6.44,-1.0770371070758
6.45,-1.0683976802217
6.46,-1.05980511936612
6.47,-1.0512786697848
6.48,-1.04283600873474
6.49,-1.03449333623342
6.5,-1.02626546939689
6.51,-1.01816593869198
6.52,-1.01020708472704
6.53,-1.00240015445319
6.54,-0.994755395869245
6.55,-0.987282150522496
6.56,-0.979988943270943
6.57,-0.972883568923496
6.58,-0.965973175505259
6.59,-0.959264344003903
6.6,-0.952763164547795
6.61,-0.94647530904334
6.62,-0.940406100360558
6.63,-0.934560578211091
6.64,-0.928943561901531
6.65,-0.923559710180154
6.66,-0.918413578419747
6.67,-0.913509673400112
6.68,-0.908852505970034
6.69,-0.904446641880753
6.7,-0.900296751090617
6.71,-0.896407655852085
6.72,-0.892784377895611
6.73,-0.889432185033694
6.74,-0.886356637513083
6.75,-0.883563634452973
6.76,-0.881059460711945
6.77,-0.878850834539512
6.78,-0.876944956379323
6.79,-0.875349559203505
6.8,-0.874072960778873
6.81,-0.873124118281867
6.82,-0.872512685707708
6.83,-0.872249074543305
6.84,-0.872344518210409
6.85,-0.872811140821961
6.86,-0.873662030838497
6.87,-0.874911320262897
6.88,-0.8765742700704
6.89,-0.878667362636241
6.9,-0.881208401999344
6.91,-0.884216622886067
6.92,-0.887712809517002
6.93,-0.891719425329428
6.94,-0.896260754874159
6.95,-0.901363059288965
6.96,-0.907054746911853
6.97,-0.91336656077967
6.98,-0.920331784967993
6.99,-0.927986471958109
7,-0.936369693488947
7.01,-0.945523817647585
7.02,-0.955494815296298
7.03,-0.966332599317511
7.04,-0.97809140059486
7.05,-0.990830185141671
7.06,-1.00461311734207
7.07,-1.0195100748981
7.08,-1.03559722178192
7.09,-1.05295764628087
7.1,-1.07168207211349
7.11,-1.0918696515802
